GEMBASE_NAME,ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,Isolation source,Strain Category,phylogroup
ESCO.0216.00285,E2085,GCA_902839445,PRJEB34791,ERS3882996,CADGCE010000001-CADGCE010000127,Environmental,Water,A
ESCO.0216.00286,41_1_Ti9,GCA_902839385,PRJEB34791,ERS3882997,CADGCF010000001-CADGCF010000141,Host-associated,Human_Intestinal,D
ESCO.0216.00287,B1785,GCA_902839465,PRJEB34791,ERS3882998,CADGBZ010000001-CADGBZ010000146,Host-associated,Bird_Faecal,D
ESCO.0216.00288,B1505,GCA_902839545,PRJEB34791,ERS3882999,CADGCM010000001-CADGCM010000149,Host-associated,Bird_Faecal,D
ESCO.0216.00289,B1837,GCA_902839505,PRJEB34791,ERS3883000,CADGCN010000001-CADGCN010000160,Host-associated,Bird_Faecal,D
ESCO.0216.00291,E8495,GCA_902839515,PRJEB34791,ERS3883002,CADGCJ010000001-CADGCJ010000100,Environmental,Water,B1
ESCO.0216.00292,E9202,GCA_902839555,PRJEB34791,ERS3883003,CADGCO010000001-CADGCO010000119,Environmental,Water,B1
ESCO.0216.00294,E8707,GCA_902839485,PRJEB34791,ERS3883004,CADGCL010000001-CADGCL010000125,Environmental,Water,D
ESCO.0216.00296,H283,GCA_902839495,PRJEB34791,ERS3883005,CADGCP010000001-CADGCP010000128,Host-associated,Human_Faecal,B2
ESCO.0216.00297,B172,GCA_902839525,PRJEB34791,ERS3883006,CADGCQ010000001-CADGCQ010000141,Host-associated,Bird_Faecal,B2
ESCO.0216.00298,E7253,GCA_902839585,PRJEB34791,ERS3883007,CADGCX010000001-CADGCX010000145,Environmental,Water,B2
ESCO.0216.00299,E6249,GCA_902839595,PRJEB34791,ERS3883008,CADGDA010000001-CADGDA010000159,Environmental,Water,E
ESCO.0216.00300,POSS_07,GCA_902839605,PRJEB34791,ERS3883009,CADGDB010000001-CADGDB010000176,Host-associated,Mammal_Faecal,B2
ESCO.0216.00302,TA209,GCA_902839665,PRJEB34791,ERS3883011,CADGCR010000001-CADGCR010000206,Host-associated,Mammal_Faecal,B2
ESCO.0216.00303,39_2_Ti18,GCA_902839645,PRJEB34791,ERS3883012,CADGCS010000001-CADGCS010000257,Host-associated,Human_Intestinal,B2
ESCO.0216.00304,56_4_R1,GCA_902839575,PRJEB34791,ERS3883013,CADGCY010000001-CADGCY010000107,Host-associated,Human_Intestinal,D
ESCO.0216.00305,51_2_R1,GCA_902839655,PRJEB34791,ERS3883014,CADGCW010000001-CADGCW010000109,Host-associated,Human_Intestinal,D
ESCO.0216.00306,C1_91,GCA_902839565,PRJEB34791,ERS3883015,CADGCT010000001-CADGCT010000109,Host-associated,Poultry_Meat,D
ESCO.0216.00307,H645,GCA_902839635,PRJEB34791,ERS3883016,CADGCV010000001-CADGCV010000115,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00309,B115,GCA_902839615,PRJEB34791,ERS3883017,CADGCZ010000001-CADGCZ010000120,Host-associated,Bird_Faecal,B1
ESCO.0216.00310,55_1_TC9,GCA_902839695,PRJEB34791,ERS3883018,CADGDF010000001-CADGDF010000121,Host-associated,Human_Intestinal,B2
ESCO.0216.00311,POSS_70,GCA_902839675,PRJEB34791,ERS3883019,CADGDG010000001-CADGDG010000121,Host-associated,Mammal_Faecal,B2
ESCO.0216.00312,61_2_AC9,GCA_902839705,PRJEB34791,ERS3883020,CADGDI010000001-CADGDI010000123,Host-associated,Human_Intestinal,B2
ESCO.0216.00313,E2810,GCA_902839735,PRJEB34791,ERS3883021,CADGDJ010000001-CADGDJ010000141,Environmental,Water,D
ESCO.0216.00315,H1512651,GCA_902839745,PRJEB34791,ERS3883022,CADGDC010000001-CADGDC010000095,Environmental,Water,B1
ESCO.0216.00316,A3_45,GCA_902839725,PRJEB34791,ERS3883023,CADGDE010000001-CADGDE010000105,Host-associated,Poultry_Meat,B1
ESCO.0216.00318,W4_36,GCA_902839685,PRJEB34791,ERS3883024,CADGDD010000001-CADGDD010000112,Host-associated,Poultry_Meat,B2
ESCO.0216.00319,B386,GCA_902839715,PRJEB34791,ERS3883025,CADGDH010000001-CADGDH010000117,Host-associated,Bird_Faecal,B1
ESCO.0216.00321,E8732,GCA_902839765,PRJEB34791,ERS3883026,CADGDM010000001-CADGDM010000128,Environmental,Water,D
ESCO.0216.00322,M665752,GCA_902839775,PRJEB34791,ERS3883027,CADGDK010000001-CADGDK010000140,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00323,E7242,GCA_902839755,PRJEB34791,ERS3883028,CADGDL010000001-CADGDL010000144,Environmental,Water,B2
ESCO.0216.00324,20_2_TC13,GCA_902840945,PRJEB34791,ERS3883029,CADGHW010000001-CADGHW010000146,Host-associated,Human_Intestinal,B1
ESCO.0216.00325,E2814,GCA_902840815,PRJEB34791,ERS3883030,CADGHM010000001-CADGHM010000146,Environmental,Water,B2
ESCO.0216.00327,19_2_TC6,GCA_902840785,PRJEB34791,ERS3883031,CADGHR010000001-CADGHR010000164,Host-associated,Human_Intestinal,B2
ESCO.0216.00328,B1697b,GCA_902840935,PRJEB34791,ERS3883032,CADGHT010000001-CADGHT010000172,Host-associated,Bird_Faecal,B2
ESCO.0216.00330,E2845,GCA_902840845,PRJEB34791,ERS3883033,CADGHV010000001-CADGHV010000104,Environmental,Water,B1
ESCO.0216.00331,E5405,GCA_902840885,PRJEB34791,ERS3883034,CADGHO010000001-CADGHO010000112,Environmental,Water,B1
ESCO.0216.00333,56_3_AC1,GCA_902840865,PRJEB34791,ERS3883035,CADGIB010000001-CADGIB010000114,Host-associated,Human_Intestinal,D
ESCO.0216.00334,E5150,GCA_902839785,PRJEB34791,ERS3883036,CADGED010000001-CADGED010000121,Environmental,Water,B1
ESCO.0216.00335,B1868,GCA_902839895,PRJEB34791,ERS3883037,CADGDP010000001-CADGDP010000125,Host-associated,Bird_Faecal,B1
ESCO.0216.00336,E5356,GCA_902839845,PRJEB34791,ERS3883038,CADGEB010000001-CADGEB010000137,Environmental,Water,A
ESCO.0216.00338,18_3_Ti5,GCA_902839815,PRJEB34791,ERS3883039,CADGDT010000001-CADGDT010000157,Host-associated,Human_Intestinal,B2
ESCO.0216.00339,M290,GCA_902839805,PRJEB34791,ERS3883040,CADGEC010000001-CADGEC010000202,Host-associated,Mammal_Faecal,D
ESCO.0216.00340,TA258,GCA_902839965,PRJEB34791,ERS3883041,CADGDS010000001-CADGDS010000226,Host-associated,Mammal_Faecal,B2
ESCO.0216.00341,TA265,GCA_902839855,PRJEB34791,ERS3883042,CADGDX010000001-CADGDX010000340,Host-associated,Mammal_Faecal,B2
ESCO.0216.00342,45_2_HU10,GCA_902839835,PRJEB34791,ERS3883043,CADGDY010000001-CADGDY010000105,Host-associated,Human_Intestinal,A
ESCO.0216.00343,W4_34,GCA_902839935,PRJEB34791,ERS3883044,CADGDV010000001-CADGDV010000105,Host-associated,Poultry_Meat,B2
ESCO.0216.00344,B977,GCA_902839825,PRJEB34791,ERS3883045,CADGEA010000001-CADGEA010000109,Host-associated,Bird_Faecal,B1
ESCO.0216.00345,M938,GCA_902839885,PRJEB34791,ERS3883046,CADGDN010000001-CADGDN010000112,Host-associated,Mammal_Faecal,A
ESCO.0216.00346,W3_33,GCA_902839875,PRJEB34791,ERS3883047,CADGDU010000001-CADGDU010000112,Host-associated,Poultry_Meat,B2
ESCO.0216.00347,E7180,GCA_902839955,PRJEB34791,ERS3883048,CADGDZ010000001-CADGDZ010000114,Environmental,Water,B1
ESCO.0216.00348,E5359,GCA_902839945,PRJEB34791,ERS3883049,CADGDQ010000001-CADGDQ010000123,Environmental,Water,B1
ESCO.0216.00349,M094,GCA_902839905,PRJEB34791,ERS3883050,CADGEF010000001-CADGEF010000144,Host-associated,Mammal_Faecal,B2
ESCO.0216.00350,M653497,GCA_902839865,PRJEB34791,ERS3883051,CADGEE010000001-CADGEE010000150,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00351,18_4_Ti12,GCA_902839925,PRJEB34791,ERS3883052,CADGDR010000001-CADGDR010000161,Host-associated,Human_Intestinal,B2
ESCO.0216.00352,H112,GCA_902839975,PRJEB34791,ERS3883053,CADGDO010000001-CADGDO010000174,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00353,W1_57b,GCA_902839915,PRJEB34791,ERS3883054,CADGEG010000001-CADGEG010000175,Host-associated,Poultry_Meat,B2
ESCO.0216.00355,61_1_Ti1,GCA_902839795,PRJEB34791,ERS3883055,CADGDW010000001-CADGDW010000190,Host-associated,Human_Intestinal,B2
ESCO.0216.00356,B1794,GCA_902840085,PRJEB34791,ERS3883056,CADGEU010000001-CADGEU010000191,Host-associated,Bird_Faecal,D
ESCO.0216.00357,12_GNB_003,GCA_902840065,PRJEB34791,ERS3883057,CADGEK010000001-CADGEK010000235,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00358,TA309,GCA_902840175,PRJEB34791,ERS3883058,CADGEY010000001-CADGEY010000287,Host-associated,Mammal_Faecal,B2
ESCO.0216.00359,51_6_R16,GCA_902840045,PRJEB34791,ERS3883059,CADGEH010000001-CADGEH010000116,Host-associated,Human_Intestinal,D
ESCO.0216.00361,POSS_40,GCA_902840095,PRJEB34791,ERS3883060,CADGER010000001-CADGER010000142,Host-associated,Mammal_Faecal,B2
ESCO.0216.00362,BS20,GCA_902840035,PRJEB34791,ERS3883061,CADGEZ010000001-CADGEZ010000156,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00363,19_1_TC4,GCA_902840125,PRJEB34791,ERS3883062,CADGEL010000001-CADGEL010000165,Host-associated,Human_Intestinal,B2
ESCO.0216.00364,B996,GCA_902840135,PRJEB34791,ERS3883063,CADGET010000001-CADGET010000166,Host-associated,Bird_Faecal,B1
ESCO.0216.00366,M992,GCA_902840055,PRJEB34791,ERS3883064,CADGES010000001-CADGES010000194,Host-associated,Mammal_Faecal,B2
ESCO.0216.00367,E2025,GCA_902840165,PRJEB34791,ERS3883065,CADGEM010000001-CADGEM010000279,Environmental,Water,D
ESCO.0216.00368,E8612,GCA_902840145,PRJEB34791,ERS3883066,CADGEV010000001-CADGEV010000292,Environmental,Water,D
ESCO.0216.00369,B1049,GCA_902840005,PRJEB34791,ERS3883067,CADGFA010000001-CADGFA010000304,Host-associated,Bird_Faecal,E
ESCO.0216.00370,E2038,GCA_902840075,PRJEB34791,ERS3883068,CADGEO010000001-CADGEO010000408,Environmental,Water,B2
ESCO.0216.00371,70_5_R4,GCA_902840115,PRJEB34791,ERS3883069,CADGEQ010000001-CADGEQ010000107,Host-associated,Human_Intestinal,B2
ESCO.0216.00373,E2476,GCA_902840025,PRJEB34791,ERS3883070,CADGEI010000001-CADGEI010000112,Environmental,Water,B1
ESCO.0216.00374,H515,GCA_902839995,PRJEB34791,ERS3883071,CADGEJ010000001-CADGEJ010000114,Host-associated,Human_Faecal,B2
ESCO.0216.00375,W2_37,GCA_902839985,PRJEB34791,ERS3883072,CADGEW010000001-CADGEW010000118,Host-associated,Poultry_Meat,B1
ESCO.0216.00376,22_4_Ti18,GCA_902840105,PRJEB34791,ERS3883073,CADGEN010000001-CADGEN010000130,Host-associated,Human_Intestinal,D
ESCO.0216.00377,B1045,GCA_902840015,PRJEB34791,ERS3883074,CADGEX010000001-CADGEX010000165,Host-associated,Bird_Faecal,B2
ESCO.0216.00378,GNB_3401,GCA_902840155,PRJEB34791,ERS3883075,CADGEP010000001-CADGEP010000166,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00379,E9254,GCA_902840185,PRJEB34791,ERS3883076,CADGFB010000001-CADGFB010000208,Environmental,Water,E
ESCO.0216.00381,E8496,GCA_902840285,PRJEB34791,ERS3883078,CADGFN010000001-CADGFN010000112,Environmental,Water,B1
ESCO.0216.00382,E4770,GCA_902840255,PRJEB34791,ERS3883079,CADGFU010000001-CADGFU010000113,Environmental,Water,B1
ESCO.0216.00383,E9796,GCA_902840195,PRJEB34791,ERS3883080,CADGFD010000001-CADGFD010000121,Environmental,Water,B1
ESCO.0216.00384,57_3_TC14,GCA_902840225,PRJEB34791,ERS3883081,CADGFM010000001-CADGFM010000122,Host-associated,Human_Intestinal,B2
ESCO.0216.00385,B1795,GCA_902840215,PRJEB34791,ERS3883082,CADGFP010000001-CADGFP010000124,Host-associated,Bird_Faecal,B1
ESCO.0216.00386,E2848,GCA_902840235,PRJEB34791,ERS3883083,CADGFS010000001-CADGFS010000134,Environmental,Water,B1
ESCO.0216.00387,BS58,GCA_902840315,PRJEB34791,ERS3883084,CADGFG010000001-CADGFG010000135,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00388,E5381,GCA_902840305,PRJEB34791,ERS3883085,CADGFQ010000001-CADGFQ010000137,Environmental,Water,B1
ESCO.0216.00389,H552,GCA_902840275,PRJEB34791,ERS3883086,CADGFF010000001-CADGFF010000141,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00391,BS11,GCA_902840265,PRJEB34791,ERS3883087,CADGFI010000001-CADGFI010000153,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00392,BS150,GCA_902840205,PRJEB34791,ERS3883088,CADGFC010000001-CADGFC010000153,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00393,B351,GCA_902840295,PRJEB34791,ERS3883089,CADGFJ010000001-CADGFJ010000164,Host-associated,Bird_Faecal,B2
ESCO.0216.00394,B288,GCA_902840365,PRJEB34791,ERS3883090,CADGFR010000001-CADGFR010000169,Host-associated,Bird_Faecal,B2
ESCO.0216.00395,E7041,GCA_902840355,PRJEB34791,ERS3883091,CADGFL010000001-CADGFL010000191,Environmental,Water,E
ESCO.0216.00396,E2079,GCA_902858905,PRJEB34791,ERS3883092,CADIGU010000001-CADIGU010000193,Environmental,Water,A
ESCO.0216.00397,B1191,GCA_902840335,PRJEB34791,ERS3883093,CADGFE010000001-CADGFE010000107,Host-associated,Bird_Faecal,B1
ESCO.0216.00398,E4735,GCA_902840375,PRJEB34791,ERS3883094,CADGFT010000001-CADGFT010000115,Environmental,Water,B1
ESCO.0216.00399,E5955,GCA_902840345,PRJEB34791,ERS3883095,CADGFO010000001-CADGFO010000118,Environmental,Water,B1
ESCO.0216.00400,E5562,GCA_902840325,PRJEB34791,ERS3883096,CADGFK010000001-CADGFK010000119,Environmental,Water,B1
ESCO.0216.00402,E7207,GCA_902840245,PRJEB34791,ERS3883097,CADGFH010000001-CADGFH010000128,Environmental,Water,B1
ESCO.0216.00404,TA448,GCA_902840385,PRJEB34791,ERS3883098,CADGFV010000001-CADGFV010000182,Host-associated,Mammal_Faecal,B2
ESCO.0216.00405,M651,GCA_902840435,PRJEB34791,ERS3883099,CADGGG010000001-CADGGG010000214,Host-associated,Mammal_Faecal,B2
ESCO.0216.00406,TA361,GCA_902840495,PRJEB34791,ERS3883100,CADGGD010000001-CADGGD010000243,Host-associated,Mammal_Faecal,B1
ESCO.0216.00407,2099_2_1,GCA_902840415,PRJEB34791,ERS3883101,CADGFZ010000001-CADGFZ010000117,Environmental,Water,A
ESCO.0216.00408,W1_32,GCA_902840465,PRJEB34791,ERS3883102,CADGGF010000001-CADGGF010000135,Host-associated,Poultry_Meat,B1
ESCO.0216.00409,H437,GCA_902840455,PRJEB34791,ERS3883103,CADGGE010000001-CADGGE010000146,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00410,H562,GCA_902840395,PRJEB34791,ERS3883104,CADGFX010000001-CADGFX010000152,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00411,M638488,GCA_902840485,PRJEB34791,ERS3883105,CADGFY010000001-CADGFY010000154,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00412,E2014,GCA_902840475,PRJEB34791,ERS3883106,CADGFW010000001-CADGFW010000155,Environmental,Water,A
ESCO.0216.00413,B194,GCA_902840405,PRJEB34791,ERS3883107,CADGGC010000001-CADGGC010000117,Host-associated,Bird_Faecal,B1
ESCO.0216.00414,50_6_TCUA1,GCA_902840425,PRJEB34791,ERS3883108,CADGGB010000001-CADGGB010000118,Host-associated,Human_Intestinal,A
ESCO.0216.00415,E4766,GCA_902840445,PRJEB34791,ERS3883109,CADGGA010000001-CADGGA010000124,Environmental,Water,B1
ESCO.0216.00416,E9872,GCA_902840575,PRJEB34791,ERS3883110,CADGGN010000001-CADGGN010000125,Environmental,Water,B1
ESCO.0216.00417,64_3_AC10,GCA_902840525,PRJEB34791,ERS3883111,CADGGM010000001-CADGGM010000137,Host-associated,Human_Intestinal,A
ESCO.0216.00418,242_6_Brisbane,GCA_902840505,PRJEB34791,ERS3883112,CADGGH010000001-CADGGH010000141,Environmental,Water,B1
ESCO.0216.00419,CD_59_LN,GCA_902840515,PRJEB34791,ERS3883113,CADGGJ010000001-CADGGJ010000152,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00420,H342,GCA_902840545,PRJEB34791,ERS3883114,CADGGI010000001-CADGGI010000152,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00422,B050,GCA_902840565,PRJEB34791,ERS3883115,CADGGL010000001-CADGGL010000168,Host-associated,Bird_Faecal,D
ESCO.0216.00424,B749,GCA_902840535,PRJEB34791,ERS3883116,CADGGO010000001-CADGGO010000133,Host-associated,Bird_Faecal,B1
ESCO.0216.00425,A2_40,GCA_902840555,PRJEB34791,ERS3883117,CADGGK010000001-CADGGK010000135,Host-associated,Poultry_Meat,B1
ESCO.0216.00426,E7542,GCA_902840695,PRJEB34791,ERS3883118,CADGHA010000001-CADGHA010000137,Environmental,Water,B1
ESCO.0216.00427,TA210,GCA_902840675,PRJEB34791,ERS3883119,CADGGY010000001-CADGGY010000161,Host-associated,Mammal_Faecal,D
ESCO.0216.00428,E7412,GCA_902840685,PRJEB34791,ERS3883120,CADGGX010000001-CADGGX010000171,Environmental,Water,D
ESCO.0216.00429,M294,GCA_902840645,PRJEB34791,ERS3883121,CADGGR010000001-CADGGR010000222,Host-associated,Mammal_Faecal,B2
ESCO.0216.00430,TA256,GCA_902840615,PRJEB34791,ERS3883122,CADGGT010000001-CADGGT010000222,Host-associated,Mammal_Faecal,D
ESCO.0216.00431,TA244,GCA_902840585,PRJEB34791,ERS3883123,CADGGW010000001-CADGGW010000234,Host-associated,Mammal_Faecal,B1
ESCO.0216.00432,E9345,GCA_902840595,PRJEB34791,ERS3883124,CADGGV010000001-CADGGV010000311,Environmental,Water,B2
ESCO.0216.00433,E9855,GCA_902840605,PRJEB34791,ERS3883125,CADGGQ010000001-CADGGQ010000121,Environmental,Water,B1
ESCO.0216.00434,B219,GCA_902840665,PRJEB34791,ERS3883126,CADGGU010000001-CADGGU010000127,Host-associated,Bird_Faecal,B1
ESCO.0216.00435,B1811,GCA_902840635,PRJEB34791,ERS3883127,CADGGZ010000001-CADGGZ010000137,Host-associated,Bird_Faecal,B1
ESCO.0216.00436,H1512653_1,GCA_902840655,PRJEB34791,ERS3883128,CADGGS010000001-CADGGS010000138,Environmental,Water,B1
ESCO.0216.00437,C4_97,GCA_902840625,PRJEB34791,ERS3883129,CADGGP010000001-CADGGP010000144,Host-associated,Poultry_Meat,B1
ESCO.0216.00438,H1512653_2,GCA_902840735,PRJEB34791,ERS3883130,CADGHC010000001-CADGHC010000146,Environmental,Water,B1
ESCO.0216.00439,TA073,GCA_902840725,PRJEB34791,ERS3883131,CADGHB010000001-CADGHB010000146,Host-associated,Mammal_Faecal,D
ESCO.0216.00440,E4963,GCA_902840705,PRJEB34791,ERS3883132,CADGHE010000001-CADGHE010000154,Environmental,Water,B2
ESCO.0216.00441,M676943,GCA_902840715,PRJEB34791,ERS3883133,CADGHD010000001-CADGHD010000159,Host-associated,Human_Faecal,B2
ESCO.0216.00442,B952,GCA_902840765,PRJEB34791,ERS3883134,CADGHF010000001-CADGHF010000181,Host-associated,Bird_Faecal,B1
ESCO.0216.00445,E8600,GCA_902840745,PRJEB34791,ERS3883136,CADGHH010000001-CADGHH010000137,Environmental,Water,A
ESCO.0216.00446,E5953,GCA_902840915,PRJEB34791,ERS3883137,CADGHU010000001-CADGHU010000137,Environmental,Water,B1
ESCO.0216.00447,2H_265_13,GCA_902840965,PRJEB34791,ERS3883138,CADGHY010000001-CADGHY010000165,Host-associated,Human_Faecal,B2
ESCO.0216.00448,E7147,GCA_902840905,PRJEB34791,ERS3883139,CADGHX010000001-CADGHX010000200,Environmental,Water,D
ESCO.0216.00449,E7812,GCA_902840875,PRJEB34791,ERS3883140,CADGHS010000001-CADGHS010000215,Environmental,Water,D
ESCO.0216.00450,POSS_59,GCA_902840805,PRJEB34791,ERS3883141,CADGHQ010000001-CADGHQ010000254,Host-associated,Mammal_Faecal,B2
ESCO.0216.00451,TA085,GCA_902840795,PRJEB34791,ERS3883142,CADGIA010000001-CADGIA010000265,Host-associated,Mammal_Faecal,D
ESCO.0216.00452,TA260,GCA_902840825,PRJEB34791,ERS3883143,CADGHL010000001-CADGHL010000271,Host-associated,Mammal_Faecal,D
ESCO.0216.00453,E9207,GCA_902840895,PRJEB34791,ERS3883144,CADGHN010000001-CADGHN010000121,Environmental,Water,B1
ESCO.0216.00454,H1513183,GCA_902840925,PRJEB34791,ERS3883145,CADGHP010000001-CADGHP010000121,Environmental,Water,E
ESCO.0216.00455,M662,GCA_902841065,PRJEB34791,ERS3883146,CADGIP010000001-CADGIP010000122,Host-associated,Mammal_Faecal,A
ESCO.0216.00456,E7185,GCA_902841035,PRJEB34791,ERS3883147,CADGIQ010000001-CADGIQ010000129,Environmental,Water,A
ESCO.0216.00457,B764,GCA_902841085,PRJEB34791,ERS3883148,CADGIE010000001-CADGIE010000131,Host-associated,Bird_Faecal,B1
ESCO.0216.00458,64_AC3,GCA_902841145,PRJEB34791,ERS3883149,CADGIH010000001-CADGIH010000151,Host-associated,Human_Intestinal,D
ESCO.0216.00459,H190,GCA_902841135,PRJEB34791,ERS3883150,CADGII010000001-CADGII010000155,Host-associated,Human_Extra-intestinal,A
ESCO.0216.00460,M555,GCA_902840985,PRJEB34791,ERS3883151,CADGID010000001-CADGID010000155,Host-associated,Mammal_Faecal,B1
ESCO.0216.00462,53_1_AUC1,GCA_902840995,PRJEB34791,ERS3883152,CADGIN010000001-CADGIN010000174,Host-associated,Human_Intestinal,B1
ESCO.0216.00463,H141,GCA_902841015,PRJEB34791,ERS3883153,CADGIF010000001-CADGIF010000189,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00464,H282,GCA_902841095,PRJEB34791,ERS3883154,CADGIR010000001-CADGIR010000193,Host-associated,Human_Faecal,C
ESCO.0216.00465,M626,GCA_902841115,PRJEB34791,ERS3883155,CADGIS010000001-CADGIS010000199,Host-associated,Mammal_Faecal,E
ESCO.0216.00466,B1761,GCA_902841045,PRJEB34791,ERS3883156,CADGIT010000001-CADGIT010000283,Host-associated,Bird_Faecal,E
ESCO.0216.00467,E2074,GCA_902841125,PRJEB34791,ERS3883157,CADGIU010000001-CADGIU010000424,Environmental,Water,B1
ESCO.0216.00468,E9208,GCA_902841055,PRJEB34791,ERS3883158,CADGIK010000001-CADGIK010000128,Environmental,Water,B1
ESCO.0216.00469,E7562,GCA_902841025,PRJEB34791,ERS3883159,CADGIJ010000001-CADGIJ010000139,Environmental,Water,B1
ESCO.0216.00470,E9802,GCA_902841075,PRJEB34791,ERS3883160,CADGIL010000001-CADGIL010000140,Environmental,Water,B1
ESCO.0216.00471,C4_34,GCA_902840975,PRJEB34791,ERS3883161,CADGIO010000001-CADGIO010000141,Host-associated,Poultry_Meat,B2
ESCO.0216.00472,M668546,GCA_902841105,PRJEB34791,ERS3883162,CADGIG010000001-CADGIG010000158,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00473,B1889,GCA_902841155,PRJEB34791,ERS3883163,CADGIC010000001-CADGIC010000160,Host-associated,Bird_Faecal,A
ESCO.0216.00474,B1897,GCA_902841005,PRJEB34791,ERS3883164,CADGIM010000001-CADGIM010000165,Host-associated,Bird_Faecal,A
ESCO.0216.00475,E2016,GCA_902841165,PRJEB34791,ERS3883165,CADGIV010000001-CADGIV010000168,Environmental,Water,A
ESCO.0216.00476,B313b,GCA_902841245,PRJEB34791,ERS3883166,CADGJD010000001-CADGJD010000168,Host-associated,Bird_Faecal,B1
ESCO.0216.00477,E4665,GCA_902841185,PRJEB34791,ERS3883167,CADGJE010000001-CADGJE010000174,Environmental,Water,B2
ESCO.0216.00479,E9870,GCA_902841215,PRJEB34791,ERS3883168,CADGJH010000001-CADGJH010000200,Environmental,Water,D
ESCO.0216.00480,B1568,GCA_902841255,PRJEB34791,ERS3883169,CADGJJ010000001-CADGJJ010000223,Host-associated,Bird_Faecal,B2
ESCO.0216.00481,TA112,GCA_902841345,PRJEB34791,ERS3883170,CADGJI010000001-CADGJI010000229,Host-associated,Mammal_Faecal,D
ESCO.0216.00483,H244,GCA_902841315,PRJEB34791,ERS3883171,CADGJC010000001-CADGJC010000148,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00484,B1671,GCA_902841295,PRJEB34791,ERS3883172,CADGJL010000001-CADGJL010000164,Host-associated,Bird_Faecal,D
ESCO.0216.00486,W1_36,GCA_902841225,PRJEB34791,ERS3883174,CADGJA010000001-CADGJA010000130,Host-associated,Poultry_Meat,B1
ESCO.0216.00487,W2_28,GCA_902841205,PRJEB34791,ERS3883175,CADGIZ010000001-CADGIZ010000130,Host-associated,Poultry_Meat,B1
ESCO.0216.00489,M1198,GCA_902841235,PRJEB34791,ERS3883176,CADGIW010000001-CADGIW010000142,Host-associated,Mammal_Faecal,B1
ESCO.0216.00490,36_1_Ti13,GCA_902841195,PRJEB34791,ERS3883177,CADGIX010000001-CADGIX010000174,Host-associated,Human_Intestinal,B2
ESCO.0216.00492,B1708,GCA_902841355,PRJEB34791,ERS3883178,CADGJB010000001-CADGJB010000201,Host-associated,Bird_Faecal,B2
ESCO.0216.00493,57_2_DC4,GCA_902841335,PRJEB34791,ERS3883179,CADGJK010000001-CADGJK010000121,Host-associated,Human_Intestinal,A
ESCO.0216.00494,62_4_Si7,GCA_902841265,PRJEB34791,ERS3883180,CADGJN010000001-CADGJN010000129,Host-associated,Human_Intestinal,B1
ESCO.0216.00495,A4_57,GCA_902841285,PRJEB34791,ERS3883181,CADGJG010000001-CADGJG010000138,Host-associated,Poultry_Meat,B1
ESCO.0216.00497,E9781,GCA_902841325,PRJEB34791,ERS3883183,CADGJM010000001-CADGJM010000151,Environmental,Water,B1
ESCO.0216.00498,E2065,GCA_902841305,PRJEB34791,ERS3883184,CADGIY010000001-CADGIY010000155,Environmental,Water,A
ESCO.0216.00499,70_4_DC20,GCA_902841365,PRJEB34791,ERS3883185,CADGJP010000001-CADGJP010000155,Host-associated,Human_Intestinal,B2
ESCO.0216.00500,E1358,GCA_902841405,PRJEB34791,ERS3883186,CADGJQ010000001-CADGJQ010000164,Environmental,Water,E
ESCO.0216.00501,E2009,GCA_902841455,PRJEB34791,ERS3883187,CADGKF010000001-CADGKF010000165,Environmental,Water,A
ESCO.0216.00502,A3_22,GCA_902841395,PRJEB34791,ERS3883188,CADGKD010000001-CADGKD010000168,Host-associated,Poultry_Meat,A
ESCO.0216.00503,C1_36,GCA_902841515,PRJEB34791,ERS3883189,CADGJZ010000001-CADGJZ010000168,Host-associated,Poultry_Meat,A
ESCO.0216.00504,B1667,GCA_902841555,PRJEB34791,ERS3883190,CADGKE010000001-CADGKE010000173,Host-associated,Bird_Faecal,D
ESCO.0216.00505,E2851,GCA_902841505,PRJEB34791,ERS3883191,CADGJT010000001-CADGJT010000180,Environmental,Water,B1
ESCO.0216.00506,1863_3_1_WA_Bloom,GCA_902841425,PRJEB34791,ERS3883192,CADGJX010000001-CADGJX010000191,Environmental,Water,B1
